X,Y
572,735
573,736
573,742
572,743
572,746
571,747
571,751
575,751
575,750
577,748
577,746
578,745
578,738
577,737
577,720
578,719
579,719
579,718
580,717
583,717
583,714
555,702
555,704
557,704
557,702
568,699
568,705
570,705
570,699
575,695
575,700
576,701
576,703
575,704
575,706
578,706
578,699
579,698
579,695
582,685
582,687
583,688
583,692
584,693
584,699
586,699
586,692
585,691
585,687
584,686
584,685
556,680
556,683
558,683
558,680
592,678
591,679
591,684
596,684
596,678
563,672
563,674
567,674
568,675
568,677
569,677
570,678
570,682
571,683
571,685
570,686
569,686
568,687
568,690
571,690
571,688
572,687
574,687
574,680
575,679
575,677
574,676
574,675
568,675
567,674
567,672
572,667
572,671
574,671
574,667
557,656
557,658
559,658
559,656
585,648
585,657
584,658
584,663
583,664
582,664
582,676
581,677
579,677
579,681
582,681
583,682
585,682
585,666
586,665
586,662
588,660
588,658
587,657
587,654
588,653
588,648
570,648
570,649
569,650
569,658
568,659
567,659
567,662
572,662
572,658
571,657
571,654
572,653
576,653
576,651
575,650
574,650
573,649
573,648
597,645
597,647
599,647
599,645
556,639
556,648
557,649
557,651
559,651
559,646
558,645
558,639
570,616
570,618
572,618
572,616
559,573
559,575
561,575
561,573
559,544
556,547
556,553
557,554
557,555
558,556
558,565
559,566
559,568
565,568
566,569
566,577
568,577
568,573
570,571
570,567
569,567
568,566
568,562
569,561
571,561
571,559
566,559
565,558
565,554
562,554
561,553
561,544
591,520
591,527
590,528
588,528
587,527
584,527
584,528
583,529
576,529
575,528
575,526
565,526
565,529
564,530
564,544
565,544
566,545
566,546
568,548
568,555
569,555
570,556
577,556
578,555
581,555
582,556
592,556
592,554
593,553
594,553
594,552
595,551
596,551
597,550
599,550
601,552
601,556
602,557
602,558
603,559
603,563
604,564
604,567
603,568
602,568
602,574
601,575
601,578
602,579
602,587
603,587
604,588
604,590
603,591
603,601
601,603
598,603
598,606
599,607
599,609
598,610
596,610
594,608
594,601
593,600
593,596
592,595
592,593
590,593
590,594
589,595
585,595
584,594
578,594
578,597
577,598
577,600
576,601
573,601
572,600
572,598
571,598
570,597
568,597
567,596
559,596
559,598
558,599
557,599
557,603
556,604
556,606
557,607
557,608
558,609
558,611
559,612
559,616
560,616
561,617
561,618
562,619
562,621
564,621
564,615
565,614
565,607
566,606
569,606
569,602
570,601
572,601
573,602
573,609
572,610
572,614
574,614
574,613
576,611
576,607
577,606
579,606
579,604
578,604
577,603
577,601
578,600
581,600
582,599
589,599
590,600
590,605
589,606
